status,collision_index,collision_year,collision_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_severity
Unvalidated,2024052401077,2024.0,052401077,2.0,1.0,1,2.0,43,7,0.0,0,0,0,0.0,1,1.0,4,E01006617,-1,3
Unvalidated,2024161457486,2024.0,161457486,2.0,1.0,1,1.0,59,9,0.0,0,0,0,0.0,1,2.0,8,E01013226,3,3
Unvalidated,2024531404085,2024.0,531404085,2.0,2.0,1,2.0,44,7,0.0,0,0,0,0.0,9,1.0,8,E01032938,3,3
Unvalidated,2024010498306,2024.0,010498306,1.0,0.8807290111256862,2,2.0,40,7,0.0,0,2,0,0.0,9,1.0,10,E01030566,-1,3
Unvalidated,2024010508307,2024.0,010508307,2.0,1.0,1,1.0,58,9,0.0,0,0,0,0.0,3,1.0,9,E01003893,-1,3
Unvalidated,2024531445334,2024.0,531445334,1.0,1.0,1,2.0,37,7,0.0,0,0,0,0.0,9,3.0,1,E01032932,3,3
Unvalidated,2024311427939,2024.0,311427939,1.0,1.0,3,1.0,20,4,1.0,1,0,0,0.0,0,-1.0,-1,-1,3,3
Unvalidated,2024411416785,2024.0,411416785,1.0,1.0,3,1.0,20,4,1.0,1,0,0,0.0,0,1.0,5,E01023325,3,3
Unvalidated,2024991431967,2024.0,991431967,1.0,1.0,1,1.0,25,5,0.0,0,0,0,0.0,9,3.0,7,E01028497,3,3
Unvalidated,2024061393664,2024.0,061393664,1.0,1.0,1,1.0,16,4,0.0,0,0,0,0.0,3,,3,E01005764,3,3
Unvalidated,2024010493600,2024.0,010493600,1.0,1.0,1,-1.0,24,5,0.0,0,0,0,0.0,3,1.0,3,E01003146,-1,3
Unvalidated,2024010513764,,010513764,1.2113945993803419,1.0,1,1.0,34,6,0.0,0,0,0,0.0,9,1.0,8,E01021784,-1,3
